gen,ind,env_steps_ind,env_steps,train_success_rate,train_avg_min_goal_dist,train_avg_ep_return,eval_success_rate,eval_avg_min_goal_dist,eval_avg_ep_return,is_elite
2,7,20480,491520,0.8666666666666667,0.04694455466060727,-9.408003427092748,1.0,0.048061611130833626,-2.843922217344616,0
3,0,20480,512000,0.9979123173277662,0.043019387645487496,-1.509920193550818,1.0,0.041677631065249444,-0.6603692155781538,1
3,1,20480,532480,0.9921052631578947,0.04315839753437199,-2.1642473855794044,1.0,0.04347212091088295,-0.9616055517229212,1
3,2,20480,552960,0.9952380952380953,0.04191351155972197,-1.8443717193502334,1.0,0.043471576273441316,-0.5869356602176206,1
3,3,20480,573440,0.9975728155339806,0.04285866472852028,-1.9081256047708834,1.0,0.04586629681289196,-1.205251296859104,0
3,4,20480,593920,0.9886792452830189,0.04344391827735136,-3.6367732095619947,1.0,0.04649134799838066,-1.5311168543268925,0
3,5,20480,614400,0.9312169312169312,0.04497674551038515,-6.496251249994623,1.0,0.045765969529747964,-1.6447335961284757,0
3,6,20480,634880,1.0,0.0423293445416187,-1.4986027075351565,1.0,0.045000151917338374,-0.8390489256680926,0
3,7,20480,655360,1.0,0.04251411613371027,-1.511243869979065,1.0,0.042090972512960435,-0.9143615613945741,1
4,0,20480,675840,0.998468606431853,0.04177716399926641,-0.7895649700749753,1.0,0.03698374535888434,-0.3858163927546965,1
4,1,20480,696320,0.9953271028037384,0.04143154052031049,-0.8360996950074085,1.0,0.04363229274749756,-0.27020153421511905,0
4,2,20480,716800,1.0,0.0419514531519,-0.8404221875529907,1.0,0.03952788840979338,-0.26603919144687244,1
4,3,20480,737280,1.0,0.041748178326572474,-1.0024283280257447,1.0,0.04282947331666946,-0.6632654016348016,0
4,4,20480,757760,0.996661101836394,0.042061201565726375,-0.9559330038884074,1.0,0.03965560495853424,-0.37978467694255025,1
4,5,20480,778240,1.0,0.042638303562105725,-1.008877534008455,1.0,0.0401975080370903,-0.5292321629598821,1
4,6,20480,798720,0.9947916666666666,0.04181298421139622,-1.0729402099337981,1.0,0.040819416381418706,-0.48389770203404475,0
4,7,20480,819200,0.996268656716418,0.04222753065735547,-1.2165032751962317,1.0,0.04447600953280926,-0.7546791004184721,0
5,0,20480,839680,0.9960264900662251,0.04057021335458124,-0.5448668817027086,1.0,0.03824276067316532,-0.23141284737085255,1
5,1,20480,860160,0.9973890339425587,0.03972837330369819,-0.5310004908876694,1.0,0.039233538508415225,-0.09121259363451736,0
5,2,20480,880640,0.9987775061124694,0.04052702516709024,-0.41733419991530624,1.0,0.03896157965064049,-0.03653605970876646,1
5,3,20480,901120,0.9986486486486487,0.04054321805015206,-0.5699783035029907,1.0,0.0383049426600337,-0.05332809532156381,1
5,4,20480,921600,0.9973368841544608,0.04053845170503371,-0.5564980829122437,1.0,0.0388370655477047,0.09977525753189494,1
5,5,20480,942080,0.9986376021798365,0.04077679767813889,-0.5898912453242046,1.0,0.040569140762090686,0.2491350272191343,0
5,6,20480,962560,1.0,0.04127287623944715,-0.48125176200856556,1.0,0.041576946154236794,0.06854342043787134,0
5,7,20480,983040,0.9971305595408895,0.041231655872492404,-0.6924471372618133,1.0,0.04076707698404789,-0.22844335126225604,0
6,0,20480,1003520,0.9978880675818373,0.039318385729694066,-0.21948615281035627,1.0,0.03622712790966034,-0.0031626598410416816,1
6,1,20480,1024000,0.9976580796252927,0.03958059802206464,-0.3491135343861872,1.0,0.03985858261585236,-0.06359150887666262,0
6,2,20480,1044480,1.0,0.03948020518357706,-0.19026944299818352,1.0,0.035147095657885076,0.04676635668161376,1
6,3,20480,1064960,0.9989395546129375,0.03963579861733624,-0.2121981064151034,1.0,0.03585048019886017,-0.007841327599767333,1
6,4,20480,1085440,0.9962640099626401,0.04029414656248458,-0.4450624687279478,1.0,0.040034601278603074,0.09892758067409262,0
6,5,20480,1105920,1.0,0.04007904663159065,-0.2375863989259369,1.0,0.0366152411326766,-0.048891823997880966,1
6,6,20480,1126400,0.997716894977169,0.03998304440822775,-0.3262607448735662,1.0,0.040611610561609265,0.024695919855519576,0
6,7,20480,1146880,0.991304347826087,0.039710485592762135,-0.4962621270925705,1.0,0.03664194755256176,-0.05799710617303888,0
7,0,20480,1167360,0.9990583804143126,0.03839436735301901,-0.06349161722413389,1.0,0.03957545906305313,0.02874052731836636,0
7,1,20480,1187840,0.9958115183246073,0.038571813592384936,-0.223056818814316,1.0,0.03723611198365688,0.08917068052086886,0
7,2,20480,1208320,0.9946178686759957,0.03828336618864754,-0.24037676387223067,1.0,0.03642955143004656,0.054987305963102126,1
7,3,20480,1228800,1.0,0.03821706354268718,-0.041789717544962024,1.0,0.031013051234185695,0.0225691613444593,1
7,4,20480,1249280,1.0,0.03845297033578773,-0.0485332041673555,1.0,0.03652474097907543,-0.013364088879198089,0
7,5,20480,1269760,1.0,0.03853949662473685,-0.058045950436317974,1.0,0.03551883026957512,0.08132633706603856,1
7,6,20480,1290240,0.9979013641133263,0.039399018927486096,-0.21078183402628145,1.0,0.037431161105632785,0.06302678764545426,0
7,7,20480,1310720,0.9990557129367328,0.038635400429058456,-0.0729009579904101,1.0,0.031769899744540454,0.06802138747642086,1
8,0,20480,1331200,1.0,0.03721023598952178,0.06478426746301132,1.0,0.029211183823645116,0.35479383536420567,1
8,1,20480,1351680,0.9991204925241864,0.037363829938965136,0.019001383358539733,1.0,0.035292386449873446,0.29687115946877773,0
8,2,20480,1372160,0.9991482112436116,0.03720033025048559,0.04862061566897852,1.0,0.036116925068199635,0.1061718206081959,0
8,3,20480,1392640,1.0,0.03721476750173582,0.04723458961405805,1.0,0.028872159495949744,0.09266342340389414,1
8,4,20480,1413120,0.9991119005328597,0.03784000504179651,0.011507833167204934,1.0,0.036146553978323934,0.294981962932466,0
8,5,20480,1433600,0.9990982867448152,0.03793547736065978,-0.01379386798672072,1.0,0.0338837705552578,0.12486745380050746,1
8,6,20480,1454080,0.9990917347865577,0.0379409345152782,-0.011131348674868851,1.0,0.03702989816665649,0.03247160054858324,0
8,7,20480,1474560,1.0,0.0375179037143188,0.03429046634852803,1.0,0.03163751494139433,0.08690960065846684,1
9,0,20480,1495040,0.9991928974979822,0.036544920421860166,0.11002214528137728,1.0,0.0337072248570621,0.286106732770811,0
9,1,20480,1515520,0.99836867862969,0.03563635673018425,0.11045561507915497,1.0,0.027430429123342037,0.2501348965985704,1
9,2,20480,1536000,0.9991596638655462,0.03671593687129246,0.06974757514189932,1.0,0.031046646647155285,0.14342394906295303,1
9,3,20480,1556480,0.9973094170403587,0.03723748827545231,-0.006467925208234742,1.0,0.0323377737775445,0.14244461554031268,1
9,4,20480,1576960,0.9954254345837146,0.036904457325800874,-0.05730319633029664,1.0,0.032595912273973224,-0.004000251616915152,1
9,5,20480,1597440,0.9991511035653651,0.03725551251805876,0.05892603180614321,1.0,0.03475929368287325,0.1210629044922317,0
9,6,20480,1617920,1.0,0.03698394501619228,0.07873958514727446,1.0,0.03358049355447292,0.1980906046145801,0
9,7,20480,1638400,0.9982653946227233,0.0372281460316023,0.03281079779619815,1.0,0.03528105113655329,0.1520626885031643,0
